Project Name,RERA Reg. No.,Project Address,Taluka,District,State,Project Type,About Property,Project Start Date,Project End Date,Project Land Area,Total Open Area,Total Covered Area,Carpet Area of Units (Range),Plan Passing Authority,Redevelopment Project,Affordable Housing,Amenities,Unit Type,Block,Total Units,Available Units,Total No. of Towers/Blocks,Promoter Name,Promoter Type,Contact,Email Id,Address,Office Address,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Project Estimated Cost (Rs.),Percentage Loan Against Project Estimated Cost,Total Quarterly Compliance Required,Total Complied Quarters,Total Quarterly Compliance Defaulted,Total Annual Compliance Required,Total Complied Annual Compliance,Total Annual Compliance Defaulted,Project Status,Website,Approved Date,Partner 6,Partner 7,Partner 8,Partner 9,Pincode,Partner 10,Partner 11,Partner 12,Partner 13,Partner 14,Partner 15,Partner 16
Anushri Pratishtha,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01369/200118,"Anushri Pratishtha, Opp. Alkapuri Society, Nr. Atlanta Tower, Gulbai Tekra, Ahmedabad",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,"T.P.S. No. 20 (Gulbai Tekra), F.P. 332, City Survey No. 1857, At. : Gulbai Tekra, Ta. City, Di. ahmedabad",15-07-2014,31-03-2018,"1128 Sq Mtrs
Total Open Area:- 658 Sq Mtrs
Total Covered Area:- 470 Sq Mtrs","658 Sq Mtrs
Total Covered Area:- 470 Sq Mtrs",470 Sq Mtrs,107.5 Sq Mts - 151.41 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Water Conservation, Water Supply",No inventory data available,,0,0,1,Siddhant Enterprise,PARTNERSHIP FIRM,9712981185,siddhantenterprise99@gmail.com,"6, Vidhyanagar Society - II, Ushmanpura, Ahmedabad Gujarat Ahmedabad 380014","Anushri Pratishtha, Opp. Alkapuri Society,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Ronak Bharatbhai Patel
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",Ronak Bharatbhai Patel,,,,,,,1,1,NIL,1,1,NIL,Ongoing,www.notapplicable.com,20-01-2018,,,,,380006,,,,,,,
Atharva,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03494/260918,"25, Inqalab society, Gulbai Tekra",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,Residential,20-06-2018,31-07-2022,"543 Sq Mtrs
Total Open Area:- 261.95 Sq Mtrs
Total Covered Area:- 281.05 Sq Mtrs","261.95 Sq Mtrs
Total Covered Area:- 281.05 Sq Mtrs",281.05 Sq Mtrs,115.8 Sq Mts - 118.13 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Security, Drinking Water, Water Conservation, Water Supply",Residential,1,10,4,1,Wiecon Infrastructure LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9824033689,westbridge.realestate@gmail.com,"2, Hindu Colony, Opp. Sardar Stadium, Navrangpura Gujarat Ahmedabad 380009","25, Inqalab society,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Pareshkumar Gunvantlal Shah
Project Estimated Cost (Rs.):- 8,23,98,990 Percentage Loan Against Project Estimated Cost :- 0 %",Pareshkumar Gunvantlal Shah,,,,,"8,23,98,990",0%,16,15,NIL,4,4,NIL,New,https://gujrera.gujarat.gov.in/search,26-09-2018,,,,,380006,,,,,,,
AVYAANA ASPIRE,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA13941/050824/311228,"S. P. No. 2, of F. P. No. 803, of Final T.P.S. No. 03 (Ellisbridge), At - Kocharab, Ta - Sabarmati, Dist - Ahmedabad.",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,Residential Luxurious Flats,08-04-2024,31-12-2028,"Sq Mtrs
Total Open Area:- 421.63 Sq Mtrs
Total Covered Area:- 462.19 Sq Mtrs","421.63 Sq Mtrs
Total Covered Area:- 462.19 Sq Mtrs",462.19 Sq Mtrs,186.34 Sq Mts - 187.65 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,BLOCK A,10,9,1,VIHAANI DEVELOPERS,PARTNERSHIP FIRM,9879704360,vihaanidevelopers@gmail.com,"Shop No. 9, Alfa Mini Market, Vejalpur, Ahmedabad GUJARAT Ahmedabad Ahmedabad City 380015","S. P. No. 2, of F. P. No. 803, of Final T.P.S. No. 03 (Ellisbridge), At - Kocharab, , Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. PRIYANK VINODKUMAR BHANSHALI (Authorized Signatory)
2. PRIYANKKUMAR RAJENDRAKUMAR SHAH
Project Estimated Cost (Rs.):- 15,69,60,615 Percentage Loan Against Project Estimated Cost :- 0 %",PRIYANK VINODKUMAR BHANSHALI (Authorized Signatory),PRIYANKKUMAR RAJENDRAKUMAR SHAH,,,,"15,69,60,615",0%,3,3,NIL,2,NIL,NIL,New,Not Available,05-08-2024,,,,,380006,,,,,,,
BLOCK 554,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02353/A1C/300919,"BLOCK 554 , Nr. Agrawal Chamber , Opp. Townhall Ellsibridge , Ahmedabad",Ahmedabad City,Ahmedabad,Gujarat,Commercial,SHOWROOMS AND OFFICES,20-02-2017,31-07-2021,"1174 Sq Mtrs
Total Open Area:- 570.3 Sq Mtrs
Total Covered Area:- 603.7 Sq Mtrs","570.3 Sq Mtrs
Total Covered Area:- 603.7 Sq Mtrs",603.7 Sq Mtrs,34.47 Sq Mts - 399.06 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Security, Water Conservation, Water Supply, Fire Safety",Office; Shop,BLOCK 554; BLOCK 554,37,5,1,UTPAL SPACES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9924310188,info@block554.com,"Sanskrut, 2nd Floor, Nr. Old High Court, Navrangpura, Ahmedabad 380009 Gujarat Ahmedabad 380009","BLOCK 554 , Nr. Agrawal Chamber , Opp. Townhall, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. UDEET SHAH (Authorized Signatory)
Project Estimated Cost (Rs.):- 19,12,39,897 Percentage Loan Against Project Estimated Cost :- 11.84 %",UDEET SHAH (Authorized Signatory),,,,,"19,12,39,897",11.84%,13,6,NIL,4,2,NIL,Ongoing,https://Nil.in,12-04-2018,,,,,380006,,,,,,,
DIVINE 10,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA13111/110324/311225,"412/10, DIVINE 10 OPP. KRUSHNAKUNJ RESIDENCY, NR. LAW GARDEN, ELLISBRIDGE, AHMEDABAD",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,FLATS,10-01-2024,31-12-2025,"Sq Mtrs
Total Open Area:- 253.04 Sq Mtrs
Total Covered Area:- 268.7 Sq Mtrs","253.04 Sq Mtrs
Total Covered Area:- 268.7 Sq Mtrs",268.7 Sq Mtrs,104.39 Sq Mts - 129.01 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,1,10,4,1,AIRAAVAT DIVINE & ASSOCIATES,PARTNERSHIP FIRM,9825457008,airaavatdivinerera@gmail.com,"706, ATLANTA TOWER, GULBAI TEKRA, AMBAWADI AHMEDABAD GUJARAT Ahmedabad Ahmedabad City 380015","412/10, DIVINE 10 , Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. ADIT TUSHARBHAI SHAH
2. DHVANIT MADHUKAR MEHTA
3. KARAN RAVAL
4. MAULIK KUMARPAL MEHTA (Authorized Signatory)
5. YASH NIKESHKUMAR SHAH
Project Estimated Cost (Rs.):- 6,79,36,246 Percentage Loan Against Project Estimated Cost :- 17.34 %",ADIT TUSHARBHAI SHAH,DHVANIT MADHUKAR MEHTA,KARAN RAVAL,MAULIK KUMARPAL MEHTA (Authorized Signatory),YASH NIKESHKUMAR SHAH,"6,79,36,246",17.34%,6,5,NIL,3,NIL,1,New,Not Available,11-03-2024,,,,,380006,,,,,,,
Ekaansh,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RN161AA10061/260822,"Ekaansh, nr. HCG hospital, opp. Maharastra Soceity Mithakhali, Ahmedabad",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,Fully Residential Highrise flat,01-07-2022,01-07-2026,"Sq Mtrs
Total Open Area:- 2312.42 Sq Mtrs
Total Covered Area:- 1320.46 Sq Mtrs","2312.42 Sq Mtrs
Total Covered Area:- 1320.46 Sq Mtrs",1320.46 Sq Mtrs,192.51 Sq Mts - 307.97 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Community Hall, Fire Safety, Road",Residential,Building-1,44,32,1,Kharawala Realty,Individual/Propritorship,9825600682,compliance@kharawalarealty.com,"446, Kharawala Bunglow, opp Maharastra Soceity Mithakhali, Ahmedabad GUJARAT Ahmedabad Ahmedabad City 380006","Ekaansh, nr. HCG hospital, opp. Maharastra Soceity, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
No partners Present.
Project Estimated Cost (Rs.):- 1,15,63,09,609 Percentage Loan Against Project Estimated Cost :- 0 %",,,,,,"1,15,63,09,609",0%,11,11,NIL,4,2,NIL,New,www.kharawalarealty.com,26-08-2022,,,,,380006,,,,,,,
ELEVER,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/CAA14791/060225/311227,"ELEVER, OPP. CENTER POINT, PANCHVATI CROSS ROAD ELLISBRIDGE",Ahmedabad City,Ahmedabad,GUJARAT,Commercial,SHOPS AND OFFICE,04-10-2024,31-12-2027,"Sq Mtrs
Total Open Area:- 1278.49 Sq Mtrs
Total Covered Area:- 597.76 Sq Mtrs","1278.49 Sq Mtrs
Total Covered Area:- 597.76 Sq Mtrs",597.76 Sq Mtrs,36 Sq Mts - 183.77 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Office; Shop,A; A,111,111,1,PROSPERASHEEL PROCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,8401114383,eleverrera2024@gmail.com,"402, DIVYA RESIDENCY, THE, BRAHMIN MITRAMANDAL SOC. Ellisbridge, GUJARAT Ahmedabad Ahmedabad City 380006","ELEVER, OPP. CENTER POINT, PANCHVATI CROSS ROAD, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. KUNTAL RAMESHBHAI SHAH (Authorized Signatory)
2. PARTH AMRISHKUMAR GANDHI
3. SHALINSHEEL VENTURES LLP
4. SHARANAMSHEEL PROCON LLP
5. FAB PROCON LLP
6. KEWAL VINOD BANSAL
Project Estimated Cost (Rs.):- 55,16,45,113 Percentage Loan Against Project Estimated Cost :- 0 %",KUNTAL RAMESHBHAI SHAH (Authorized Signatory),PARTH AMRISHKUMAR GANDHI,SHALINSHEEL VENTURES LLP,SHARANAMSHEEL PROCON LLP,FAB PROCON LLP,"55,16,45,113",0%,1,1,NIL,1,NIL,NIL,New,Not Available,06-02-2025,KEWAL VINOD BANSAL,,,,380006,,,,,,,
GOKUL FLORA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA15273/300525/310328,"GOKUL FLORA, GOKUL PARK, NEAR JAHANAVI RESTAURANT, AMBAWADI, AHMEDABAD",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,3 BHK PREMIUM FLATS,01-03-2025,31-03-2028,"Sq Mtrs
Total Open Area:- 494.38 Sq Mtrs
Total Covered Area:- 540.62 Sq Mtrs","494.38 Sq Mtrs
Total Covered Area:- 540.62 Sq Mtrs",540.62 Sq Mtrs,104.78 Sq Mts - 111.65 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Flat,A,28,28,1,VR DEVELOPERS,PARTNERSHIP FIRM,9104410060,vrbuildcon401@gmail.com,"401, SAFAL PRELUDE, PRAHALADNAGAR SATELLITE GUJARAT Ahmedabad Ahmedabad City 380015","GOKUL FLORA, GOKUL PARK, NEAR JAHANAVI RESTAURANT, , Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. NILESH RAMESHBHAI VIRANI (Authorized Signatory)
2. HARESHKUMAR KHANCHANDANI
Project Estimated Cost (Rs.):- 29,55,04,957 Percentage Loan Against Project Estimated Cost :- 22.32 %",NILESH RAMESHBHAI VIRANI (Authorized Signatory),HARESHKUMAR KHANCHANDANI,,,,"29,55,04,957",22.32%,NIL,NIL,NIL,1,NIL,NIL,New,Not Available,30-05-2025,,,,,380006,,,,,,,
H7,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA14549/201224/120228,"H7, OPPOSITE GLS UNIVERSITY LAW GARDEN, ELLISBRIDGE, NAVRANGPURA",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,RESIDENTIAL BUILDING,14-08-2024,12-02-2028,"Sq Mtrs
Total Open Area:- 650.16 Sq Mtrs
Total Covered Area:- 645.79 Sq Mtrs","650.16 Sq Mtrs
Total Covered Area:- 645.79 Sq Mtrs",645.79 Sq Mtrs,"23.97 Sq Mts - 2,666.3 Sq Mts",Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,H7,9,0,1,HRISHIKESH VENTURES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9099926343,hrishikeshenterprise@gmail.com,"501, HRISHIKESH BUILDING VASANT BAUG, OFF C G ROAD Gujarat Ahmedabad Ahmedabad City 380006","H7, OPPOSITE GLS UNIVERSITY, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. RUPESH PRAVINBHAI SHAH
2. NEEL SHRIKANT GIRISH (Authorized Signatory)
3. AKASH SNEHAL SHAH
Project Estimated Cost (Rs.):- 39,35,91,651 Percentage Loan Against Project Estimated Cost :- 0 %",RUPESH PRAVINBHAI SHAH,NEEL SHRIKANT GIRISH (Authorized Signatory),AKASH SNEHAL SHAH,,,"39,35,91,651",0%,3,3,NIL,2,NIL,NIL,New,www.hrishikeshgroup.com,20-12-2024,,,,,380006,,,,,,,
HR ERICA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12485/161023,"HR ERICA , 59 THE BRAHMIN MITRA MANDAL CO OP HOU SOC LTD PALDI GUJARAT - 380006",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,IT IS A RESIDENTIAL PROJECT LOCATED PALDI AREA OF AHMEDABAD HAVING 14 RESIDENTIAL UNITS,15-07-2023,31-12-2025,"636.03 Sq Mtrs
Total Open Area:- 333.21 Sq Mtrs
Total Covered Area:- 302.82 Sq Mtrs","333.21 Sq Mtrs
Total Covered Area:- 302.82 Sq Mtrs",302.82 Sq Mtrs,115.14 Sq Mts - 116.84 Sq Mts,AUDA,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,A,14,8,1,RIG SPACELINKS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9978877555,hrerica.rera@gmail.com,"7TH 702 , SPG EMPRESSA , OPP L.G. SHOWROOM BESIDES, PASSPORT SEVA KENDRA, NR MITHAKALI SIX ROAD GUJARAT Ahmedabad Ahmedabad City 380009","HR ERICA , 59 THE BRAHMIN MITRA MANDAL CO OP HOU SOC LTD, Ahmedabad City, Ahmedabad, Gujarat,
Partners:-
1. RONIL PRATIK SHAH (Authorized Signatory)
2. SHRIPAL DINESHBHAI PATWA
Project Estimated Cost (Rs.):- 15,90,83,700 Percentage Loan Against Project Estimated Cost :- 26.67 %",RONIL PRATIK SHAH (Authorized Signatory),SHRIPAL DINESHBHAI PATWA,,,,"15,90,83,700",26.67%,8,7,NIL,3,1,NIL,New,Not Available,16-10-2023,,,,,380006,,,,,,,
ISHWAR MAGNA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00598/EX1/140219,"ISHWAR MAGNA, OPP. MANGAL vidhyalay MITHAKHALI",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL FLATS,01-02-2017,31-12-2019,"888 Sq Mtrs
Total Open Area:- 343 Sq Mtrs
Total Covered Area:- 545 Sq Mtrs","343 Sq Mtrs
Total Covered Area:- 545 Sq Mtrs",545 Sq Mtrs,111.67 Sq Mts - 116.75 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Water Conservation, Water Supply, Fire Safety, Road",No inventory data available,,0,0,1,UNITED VENTURES ( PUNIT D PATEL-Sole Proprietor),PARTNERSHIP FIRM,7016631300,info@unitedventures.co,"ISHWAR MAGNA, OPP.MANGAL VIDHYALAY, MITHAKHALI, ELLISBRIDGE Gujarat Ahmedabad 380006","ISHWAR MAGNA,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. JASVANTBHAI SANKARLAL KAPADIA
2. HARSH HARISHBHAI PATEL
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",JASVANTBHAI SANKARLAL KAPADIA,HARSH HARISHBHAI PATEL,,,,,,9,6,NIL,3,2,NIL,Ongoing,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=2891,06-11-2017,,,,,380006,,,,,,,
IVORY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04293/101218,"Ivory, Behind Pantaloons Nr. Mithakali six roads",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,Luxurious residential apartments in the heart of the city,02-11-2018,30-04-2022,"673 Sq Mtrs
Total Open Area:- 374 Sq Mtrs
Total Covered Area:- 299 Sq Mtrs","374 Sq Mtrs
Total Covered Area:- 299 Sq Mtrs",299 Sq Mtrs,117.38 Sq Mts - 117.38 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Residential,IVORY,14,1,1,SHETH & GAJJAR REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9825884231,jainjitendraco@gmail.com,"ACID WALA ESTATE B/H SHREEJI NAGARVEL HANUMAN ROAD, AMRAIVADI, RAKHIAL Gujarat Ahmedabad 380023","Ivory, Behind Pantaloons, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. SALIL GAURANGBHAI SHETH (Authorized Signatory)
Project Estimated Cost (Rs.):- 18,01,93,049 Percentage Loan Against Project Estimated Cost :- 0 %",SALIL GAURANGBHAI SHETH (Authorized Signatory),,,,,"18,01,93,049",0%,14,10,NIL,4,3,NIL,New,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=7316,10-12-2018,,,,,380006,,,,,,,
Kabir Park,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/MAA13676/130624/311228,"Kabir Park, TP 21, FP 505 (Bhilvas Na Chhapra), Ambawadi Bhudarpura",Ahmedabad City,Ahmedabad,GUJARAT,Mixed Development,Residential Flats & Commercial Shops,13-02-2024,31-12-2028,"Sq Mtrs
Total Open Area:- 594.33 Sq Mtrs
Total Covered Area:- 267.26 Sq Mtrs","594.33 Sq Mtrs
Total Covered Area:- 267.26 Sq Mtrs",267.26 Sq Mtrs,15.12 Sq Mts - 31.56 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- YES,YES,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Shop; Residential,1; 1,49,3,1,ELEGANCE SKYZ PRIVATE LIMITED,COMPANY,9898850814,rera.eleganceskyzpvtltd@gmail.com,"L-1, Swagat Complex C.G. Road GUJARAT Ahmedabad Ahmedabad City 380006","Kabir Park, TP 21, FP 505 (Bhilvas Na Chhapra), Ambawadi, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. DARSHANBHAI MANUBHAI PATEL (Authorized Signatory)
2. BINITABEN DARSHANBHAI PATEL
Project Estimated Cost (Rs.):- 10,26,28,300 Percentage Loan Against Project Estimated Cost :- 0 %",DARSHANBHAI MANUBHAI PATEL (Authorized Signatory),BINITABEN DARSHANBHAI PATEL,,,,"10,26,28,300",0%,8,6,NIL,2,NIL,NIL,New,Not Available,13-06-2024,,,,,380006,,,,,,,
KALA SIDDHI,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA05856/070819,"T P S 3, F.P. 433/1, 433/2 & 433/3, OPP. PANTALOON MOUJE: CHANGISPUR, LAW GARDEN",Ahmedabad City,Ahmedabad,Gujarat,Mixed Development,4 BHK RESIDENTIAL FLATS SHOWROOM SHOPS,26-03-2018,30-12-2023,"2560.18 Sq Mtrs
Total Open Area:- 1699.74 Sq Mtrs
Total Covered Area:- 860.44 Sq Mtrs","1699.74 Sq Mtrs
Total Covered Area:- 860.44 Sq Mtrs",860.44 Sq Mtrs,205.48 Sq Mts - 517.29 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",Shop; Residential,A; A,27,22,1,SHARADKANAIYALALSHAH,Individual/Propritorship,9426001681,kalasamartheshwar2020@gmail.com,"4, R.K. PARK, OPP SHARDDHA SCHOOL, JODHPUR, SATELLITE GUJARAT Ahmedabad Ahmedabad City 380015","T P S 3, F.P. 433/1, 433/2 & 433/3, OPP. PANTALOON, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
No partners Present.
Project Estimated Cost (Rs.):- 37,38,79,255 Percentage Loan Against Project Estimated Cost :- 0 %",,,,,,"37,38,79,255",0%,17,15,NIL,5,5,NIL,New,http://www.kalagroup.co.in,07-08-2019,,,,,380006,,,,,,,
Kalpvruksh regency,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00702/141117,"Kalpvruksh regency, Besides Sumtinath Jain Derasar Pritamnagar, Ellis Bridge, Ahmedabad",Ahmedabad City,Ahmedabad,Gujarat,Mixed Development,3BHK & Commercial,15-05-2017,31-12-2019,"1021.71 Sq Mtrs
Total Open Area:- 519.24 Sq Mtrs
Total Covered Area:- 502.47 Sq Mtrs","519.24 Sq Mtrs
Total Covered Area:- 502.47 Sq Mtrs",502.47 Sq Mtrs,30.35 Sq Mts - 110.4 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Water Conservation, Water Supply, Fire Safety, Road",No inventory data available,,0,0,1,Kalp Infracon Pvt Ltd,COMPANY,9825433305,chin.maniar@gmail.com,"11, Arun Society, Maniar House Mahalaxmi Cross Road, Paldi Gujarat Ahmedabad 380007","Kalpvruksh regency, Besides Sumtinath Jain Derasar, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Chintan C Maniar (Authorized Signatory)
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",Chintan C Maniar (Authorized Signatory),,,,,,,9,5,NIL,3,1,NIL,Ongoing,https://gujrera.gujarat.gov.in,14-11-2017,,,,,380006,,,,,,,
Kameshwarkunj,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06054/190919,"Behind Bank of Baroda,Nehrunagar Circle to Ambawadi Road, Nehrunagar, Ahmedabad-380006",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,2.5 Bhk Luxurious Apartments,20-06-2019,31-01-2022,"754 Sq Mtrs
Total Open Area:- 343.66 Sq Mtrs
Total Covered Area:- 410.34 Sq Mtrs","343.66 Sq Mtrs
Total Covered Area:- 410.34 Sq Mtrs",410.34 Sq Mtrs,76.07 Sq Mts - 76.07 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- YES,YES,"Disposal of sewage water, Garden, Security, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",Residential,Kameshwarkunj,20,0,1,HIRADHAN BUILDCON,PARTNERSHIP FIRM,9825460612,hiradhanbuildcon@gmail.com,"113, SECTOR-4,NIRNAYNAGAR CHANDLODIA,AHMEDABAD Gujarat Ahmedabad 382481","Behind Bank of Baroda,Nehrunagar Circle to Ambawadi Road,, Ahmedabad City, Ahmedabad, Gujarat, 380015
Partners:-
1. DINESHKUMAR KHETABHAI PATEL (Authorized Signatory)
2. Bhavin Devrajbhai Ajagiya
3. Ghanshyambhai Gordhanbhai Patel
4. Narendrabhai Somabhai Patel
5. Ashokkumar narayanbhai patel HUF
Project Estimated Cost (Rs.):- 3,56,01,654 Percentage Loan Against Project Estimated Cost :- 0 %",DINESHKUMAR KHETABHAI PATEL (Authorized Signatory),Bhavin Devrajbhai Ajagiya,Ghanshyambhai Gordhanbhai Patel,Narendrabhai Somabhai Patel,Ashokkumar narayanbhai patel HUF,"3,56,01,654",0%,10,8,NIL,3,3,NIL,New,https://gujrera.gujarat.gov.in/search,19-09-2019,,,,,380006,,,,,,,
Kashana Flats,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04536/311218,"B/h Tagore hall, Kagdiwad, Ellishbridge, Paldi,",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,28 Residential 3BHK Luxurious Flats,15-11-2018,15-06-2021,"1064.12 Sq Mtrs
Total Open Area:- 613.75 Sq Mtrs
Total Covered Area:- 450.37 Sq Mtrs","613.75 Sq Mtrs
Total Covered Area:- 450.37 Sq Mtrs",450.37 Sq Mtrs,88.87 Sq Mts - 93.42 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Water Conservation, Water Supply, Fire Safety",Residential,A,28,1,1,Aarcon Developers,PARTNERSHIP FIRM,9377688899,ncvora@icloud.com,"25, Chandrodaya Soc., S.P. Stadium Road, Opp. Golden Triangle, Gujarat Ahmedabad 380014","B/h Tagore hall,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Narendra C Vora (Authorized Signatory)
Project Estimated Cost (Rs.):- 6,62,00,000 Percentage Loan Against Project Estimated Cost :- 0 %",Narendra C Vora (Authorized Signatory),,,,,"6,62,00,000",0%,10,9,NIL,3,3,NIL,New,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=7353,31-12-2018,,,,,380006,,,,,,,
